CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Andover,Intersection of rt. 133 and rt. 28 (Shawsheen Square),MA,US,2018-06-30,FB: 35,35,,35,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20573/signup/?source=&s=,https://www.facebook.com/events/279678005911580/,,
Angels Camp,Utica Park,CA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20364/signup/?source=&s=,,,
Angola,First Congregational United Church of Christ,IN,US,2018-06-30,over 60,60,,60,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.facebook.com/CCCSteuben/?hc_ref=ARQU573It_Hywhe-nCGIAnIxcLCqXuNC2lJX6UFU0BMiQJT45mC1uzbZC6XfQ73bdHY&fref=nf,,,
Ann Arbor,The Diag,MI,US,2018-06-30,thousands,2000,,2000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19847/signup/?source=&s=,https://www.mlive.com/expo/news/erry-2018/06/a96133224e9154/signs_spotted_at_the_families.html,,
Antler,,ND,US,2018-06-30,na,15,,15,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e519c6f81bb9,https://twitter.com/JessLivMo/status/1013246104991911936,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?noredirect=on&utm_term=.ac705feac6ff,
Appleton,Houdini Plaza,WI,US,2018-06-30,at least a couple hundred,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20152/signup/?source=&s=,https://www.stevenspointjournal.com/story/news/2018/06/30/wisconsin-protesters-denounce-separation-immigrant-families/734264002/,,
Arkville,,NY,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,
Arlington Heights,Village Hall; North School Park,IL,US,2018-06-30,at least 700,700,,700,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20547/signup/?source=&s=,http://www.dailyherald.com/news/20180627/arlington-heights-elgin-other-suburbs-join-national-families-belong-together-rallies,,
Asbury Park,Springwood Park,NJ,US,2018-06-30,about 300,200,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20302/signup/?source=&s=,https://www.app.com/videos/news/2018/06/30/keep-families-together-rally-asbury-park-draws-hundreds/748168002/,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,
Asheville,68 Haywood,NC,US,2018-06-30,over 1000,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19994/signup/?source=&s=,http://wlos.com/news/local/live-families-belong-together-rally-in-downtown-asheville,https://www.citizen-times.com/picture-gallery/news/local/2018/06/30/over-1000-attend-asheville-families-belong-together-rally/36518767/,
Ashland,Ashland County Courthouse Lawn,WI,US,2018-06-30,more than 60,60,,60,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20432/signup/?source=&s=,https://americasvoice.org/press_releases/6000-ohioans-protested-family-separations-raids-deportations/,,
Astoria,"Astoria, 16th and Marine Drive, river side",OR,US,2018-06-30,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20241/signup/?source=&s=,http://www.dailyastorian.com/Local_News/20180702/standing-together-in-astoria-against-family-separations,,
Athens,UGA Arch,GA,US,2018-06-30,several hundred,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20693/signup/?source=&s=,http://www.onlineathens.com/photogallery/GA/20180630/NEWS/630009999/PH/1,,
Atlanta,Atlanta City Detention Center,GA,US,2018-06-30,several thousand,3000,,3000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19832/signup/?&source=&s=,https://www.ajc.com/news/breaking-news/thousands-atlanta-rally-against-immigration-policy/55do7EkTYXZIYC3z1WvZ4I/,,
Auburn,Toomer's Corner,AL,US,2018-06-30,over 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20124/signup/?source=&s=,https://www.facebook.com/events/1543296945799562/permalink/1562627747199815/,,
Auburn,Longley Bridge,ME,US,2018-06-30,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.sunjournal.com/protesters-of-trumps-immigration-policies-organize-rallies-across-maine-nation/,,,
Augusta,Maine State House,ME,US,2018-06-30,nearly 1000,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19858/signup/?source=&s=,https://www.centralmaine.com/2018/06/30/augusta-farmington-immigration-rallies-draw-hundreds/,,
Aurora,,CO,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://twitter.com/AuroraGunSense/status/1013089470353010689,,,
Aurora,City Hall,IL,US,2018-06-30,FB: 91,91,,91,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-abn-aurora-vigil-st-0702-story.html,https://www.facebook.com/events/447234425703884/,,
Austin,Texas State Capitol,TX,US,2018-06-30,estimated 8000,8000,,10000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19862/signup/?source=&s=,https://www.statesman.com/news/local/happening-today-thousands-rally-texas-capitol-end-family-separations/XKE7dz34maWjmQ47uUP2rL/ ,https://patch.com/texas/downtownaustin/thousands-set-attend-texasfamilies-belong-together-rallies,
Avalon,Casino Building to Wrigley Stage,CA,US,2018-06-30,na,34,,34,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://twitter.com/lisakate111/status/1013176511078133760,,,
Bainbridge Island,Waypoint Park,WA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20578/signup/?source=&s=,,,
Bakersfield,ICE Office 800 Truxtun Ave,CA,US,2018-06-30,more than one thousand,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20254/signup/?source=&s=,https://www.turnto23.com/news/local-news/more-than-one-thousand-people-take-part-in-local-families-belong-together-rally,,
Baltimore,Patterson Park,MD,US,2018-06-30,nearly 1500,1500,,1500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20720/signup/?source=&s=,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-immigrant-rights-rally-20180629-story.html,,
Bangor,Cascade Park,ME,US,2018-06-30,several hundred; FB: 142,142,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20118/signup/?source=&s=,http://www.wabi.tv/content/news/Hundreds-gather-in-Saturday-for-rally-against-current-immigration-policies-487034421.html,https://www.facebook.com/events/112892906242808/,
Bar Harbor,Bar Harbor Village Green,ME,US,2018-06-30,estimated 500,500,,500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20016/signup/?source=&s=,https://www.pressherald.com/2018/06/30/about-2000-people-protest-trump-immigration-policies-in-front-of-portland-city-hall/,http://mainebeacon.com/joining-national-wave-of-protest-2000-rally-against-family-separation-in-portland/,
Barnstable,Barnstable Village,MA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20058/signup/?source=&s=,,,
Barnstable,Unitarian Church of Barnstable,MA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,0,1,https://act.moveon.org/event/families-belong-together/20589/signup/?akid=undefined&zip=&source=,,,
Barrington,In front of Rep. Peter Roskam's Barrington Office,IL,US,2018-06-30,estimated 600,600,,600,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20075/signup/?source=&s=,https://twitter.com/teresa337/status/1013104952858771457,http://www.chicagotribune.com/suburbs/highland-park/news/ct-hpn-immigration-detention-protest-north-suburbs-tl-0705-story.html,
Barstow,Fountain next to Union Bank,CA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20714/signup/?source=&s=,,,
Bath,"In front of the Customs House, on Front Street ",ME,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20603/signup/?source=&s=,,,
Baton Rouge,US Border Patrol Office,LA,US,2018-06-30,over 175,175,,175,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20742/signup/?source=&s=,https://www.theadvocate.com/baton_rouge/multimedia/photos/collection_8fde6276-7c98-11e8-9beb-f3ffbd049627.html#4,https://www.facebook.com/PSNBatonRouge/posts/1045340548948967,
Battle Creek,Calhoun County Justice Center,MI,US,2018-06-30,video,130,,132,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20306/signup/?source=&s=,https://www.youtube.com/watch?v=cXQ26stTad4,,
Bay St Louis + Pass Christian,Bay Bridge,MS,US,2018-06-30,dozens,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20509/signup/?source=&s=,https://twitter.com/JerameyForMS/status/1013104179416567808,http://www.wlox.com/story/38550338/protesters-march-in-south-ms-to-speak-out-against-immigration-policy,
Bayside,"Bell Blvd LIRR entrance, West Side of Street",NY,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20582/signup/?source=&s=,,,
Beacon,Polhill Park,NY,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20433/signup/?source=&s=,,,
Beaver,Beaver County Court House,PA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20107/signup/?source=&s=,,,
Bedminster,Clarence Dillon Public Library,NJ,US,2018-06-30,na,400,,400,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20376/signup/?source=&s=,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,
Belchertown,Belchertown Common,MA,US,2018-06-30,na,250,,250,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20407/signup/?source=&s=,http://www.gazettenet.com/Jody-Shapiro-Wonders-about-lack-of-coverage-18667273,,
Bellingham,Bellingham City Hall,WA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20423/signup/?source=&s=,,,
Bend,NW Greenwood Ave & NW Bond St (NE Corner) - Diagonal from Walden's office,OR,US,2018-06-30,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20247/signup/?source=&s=,http://www.ktvz.com/news/hundreds-gather-in-bend-to-protest-immigration-policies/761494573,,
Berkeley,"Old City Hall Steps, 2134 Martin Luther King Jr Way",CA,US,2018-06-30,around 1500,1500,,1500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19916/signup/?source=&s=,http://www.berkeleyside.com/2018/06/30/around-1500-in-berkeley-declare-families-belong-together,,
Bethlehem,Payrow Plaza,PA,US,2018-06-30,about 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20415/signup/?source=&s=,https://www.lehighvalleylive.com/news/index.ssf/2018/06/watch_lehigh_valley_rally_amon.html,,
Big Rapids,Big Rapids Community Library,MI,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20327/signup/?source=&s=,,,
Billings,Yellowstone County Courthouse,MT,US,2018-06-30,hundreds; about 450,200,,450,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20032/signup/?source=&s=,https://billingsgazette.com/news/local/crowd-of-hundreds-in-billings-rallies-to-reunite-separated-immigrant/article_853baff0-08d5-5c81-8d75-dca2ffd08fcf.html,http://www.kpax.com/story/38549287/billings-rally-protests-us-immigration-policy,
Binghamton,Federal Building,NY,US,2018-06-30,nearly 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20051/signup/?source=&s=,https://eu.pressconnects.com/story/news/local/2018/06/30/binghamton-immigration-protest-trump-families/748222002/,,
Birmingham,Caldwell Park,AL,US,2018-06-30,hundreds; FB: 850,200,,850,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20069/signup/?source=&s=,https://www.facebook.com/events/474587226304743/,,
Bisbee,Iron man statue/ Coshise County Court House,AZ,US,2018-06-30,`,31,,31,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20354/signup/?source=&s=,https://twitter.com/justamexican/status/1013150169188012034,,partial count from video
Bishop,Bishop Park,CA,US,2018-06-30,FB: 47,47,,47,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20142/signup/?source=&s=,https://www.facebook.com/events/1937670922951236/,,
Bloomington,Monroe County Courthouse,IN,US,2018-06-30,hundreds; more than 250,200,,250,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20443/signup/?source=&s=,https://indianapublicmedia.org/news/hundreds-gather-courthouse-square-part-nationwide-immigration-protests-151025/,http://www.magbloom.com/2018/07/families-belong-together-rally-held-outside-courthouse-photo-gallery/,
Bluffton,Bluffton Village Town Center,SC,US,2018-06-30,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20610/signup/?source=&s=,http://www.blufftontoday.com/news/20180701/immigration-policy-protesters-hold-bluffton-rally,,
Boca Raton,Sanborn Square,FL,US,2018-06-30,na; about 250,200,,400,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20494/signup/?source=&s=,via website,http://www.sun-sentinel.com/local/broward/fl-sb-hollywood-diplomat-protest-20180630-story.html,
Boise,Idaho State Capitol Building,ID,US,2018-06-30,several thousand,3000,,3000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20052/signup/?&source=&s=,https://twitter.com/mtnsoccerfan/status/1013183598071971840,https://www.idahostatesman.com/latest-news/article214123919.html,
Bonney Lake,18211 State Route 410 E,WA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20435/signup/?source=&s=,,,
Bordentown,,NJ,US,2018-06-30,video,24,,36,,,Families Belong Together,against jailing and separating immigrant children from their families,1,vigil,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/,https://www.facebook.com/david.w.ryan/videos/10215513220716227/,,
Boston,City Hall Plaza,MA,US,2018-06-30,about 5000; exceeded 15000,5000,,15000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19872/signup/?source=&s=,Boston Globe,,
Boston,South Bay House of Correction,MA,US,2018-06-30,more than 100,100,,100,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,20,0,0,0,0,1,https://www.nbcboston.com/news/local/Police-20-Arrested-Outside-Prison-During-Boston-Protest-487061901.html,,,
Bothell,Intersection of Bothell Way NE and Woodinville Drive,WA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20351/signup/?source=&s=,,,
Boulder,Unitarian Universalist Church of Boulder,CO,US,2018-06-30,over 1000; at least 700,700,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/200340574123626/permalink/212049349619415/,http://www.dailycamera.com/boulder-county-news/ci_31979785/boulder-county-demonstrators-decry-trump-administration-immigration-policies?source=mostpopular,,replaced Pearl St location
Boulder,Walk around Thunderbird Lake at Frasier Meadows Retirement Community,CO,US,2018-06-30,about 250,250,,250,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,0,1,https://act.moveon.org/event/families-belong-together/20617/signup/?akid=undefined&zip=&source=,http://www.dailycamera.com/boulder-county-news/ci_31979785/boulder-county-demonstrators-decry-trump-administration-immigration-policies?source=mostpopular,,
Boulder City,,NV,US,2018-06-30,na,25,,25,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,0,1,https://twitter.com/RoseAnnRabiolaM/status/1013818718088916992,,,
Bowling Green,Senator Rand Paul’s Office,KY,US,2018-06-30,more than 200; around two hundred,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20131/signup/?source=&s=,https://www.bgdailynews.com/news/immigration-rally-draws-more-than-people/article_4934f211-4179-5ac7-801f-9d52ca2dd714.html,http://www.wnky.com/story/38554377/families-belong-together-rally-held-in-bowling-green,
Bowling Green,BG Green Space (Wooster Green),OH,US,2018-06-30,200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20519/signup/?source=&s=,https://americasvoice.org/press_releases/6000-ohioans-protested-family-separations-raids-deportations/,,
Bozeman,Bozeman Public Library,MT,US,2018-06-30,over 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20624/signup/?source=&s=,https://www.bozemandailychronicle.com/news/we-are-fighting-to-be-equal-bozeman-crowd-rallies-against/article_5a76778a-fe66-5647-b09d-4dd24f5e3694.html,,
Brainerd,Along Washington Street near Brainerd Historic Water Tower,MN,US,2018-06-30,FB: 31,31,,31,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20819/signup/?source=&s=,https://www.facebook.com/events/475355509602257/,,
Brattleboro,Brattleboro Common,VT,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20421/signup/?source=&s=,,,
Bremerton,Evergreen Rotary Park,WA,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20412/signup/?source=&s=,,,
Brenham,Town Square,TX,US,2018-06-30,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20008/signup/?source=&s=,,,
